id,name,l10n_cr_edi_canton_id/id,code
distrito_1_01_01,Carmen,canton_1_01,1
distrito_1_01_02,Merced,canton_1_01,2
distrito_1_01_03,Hospital,canton_1_01,3
distrito_1_01_04,Catedral,canton_1_01,4
distrito_1_01_05,Zapote,canton_1_01,5
distrito_1_01_06,San Francisco de Dos Ríos,canton_1_01,6
distrito_1_01_07,Uruca,canton_1_01,7
distrito_1_01_08,Mata Redonda,canton_1_01,8
distrito_1_01_09,Pavas,canton_1_01,9
distrito_1_01_10,Hatillo,canton_1_01,10
distrito_1_01_11,San Sebastián,canton_1_01,11
distrito_1_02_01,Escazú,canton_1_02,1
distrito_1_02_02,San Antonio,canton_1_02,2
distrito_1_02_03,San Rafael,canton_1_02,3
distrito_1_03_01,Desamparados,canton_1_03,1
distrito_1_03_02,San Miguel,canton_1_03,2
distrito_1_03_03,San Juan de Dios,canton_1_03,3
distrito_1_03_04,San Rafael Arriba,canton_1_03,4
distrito_1_03_05,San Antonio,canton_1_03,5
distrito_1_03_06,Frailes,canton_1_03,6
distrito_1_03_07,Patarrá,canton_1_03,7
distrito_1_03_08,San Cristóbal,canton_1_03,8
distrito_1_03_09,Rosario,canton_1_03,9
distrito_1_03_10,Damas,canton_1_03,10
distrito_1_03_11,San Rafael Abajo,canton_1_03,11
distrito_1_03_12,Gravilias,canton_1_03,12
distrito_1_03_13,Los Guido,canton_1_03,13
distrito_1_04_01,Santiago,canton_1_04,1
distrito_1_04_02,Mercedes Sur,canton_1_04,2
distrito_1_04_03,Barbacoas,canton_1_04,3
distrito_1_04_04,Grifo Alto,canton_1_04,4
distrito_1_04_05,San Rafael,canton_1_04,5
distrito_1_04_06,Candelarita,canton_1_04,6
distrito_1_04_07,Desamparaditos,canton_1_04,7
distrito_1_04_08,San Antonio,canton_1_04,8
distrito_1_04_09,Chires,canton_1_04,9
distrito_1_05_01,San Marcos,canton_1_05,1
distrito_1_05_02,San Lorenzo,canton_1_05,2
distrito_1_05_03,San Carlos,canton_1_05,3
distrito_1_06_01,Aserri,canton_1_06,1
distrito_1_06_02,Tarbaca,canton_1_06,2
distrito_1_06_03,Vuelta de Jorco,canton_1_06,3
distrito_1_06_04,San Gabriel,canton_1_06,4
distrito_1_06_05,Legua,canton_1_06,5
distrito_1_06_06,Monterrey,canton_1_06,6
distrito_1_06_07,Salitrillos,canton_1_06,7
distrito_1_07_01,Mora,canton_1_07,1
distrito_1_07_02,Guayabo,canton_1_07,2
distrito_1_07_03,Tabarcia,canton_1_07,3
distrito_1_07_04,Piedras Negras,canton_1_07,4
distrito_1_07_05,Picagres,canton_1_07,5
distrito_1_07_06,Jaris,canton_1_07,6
distrito_1_07_07,Quitirrisi,canton_1_07,7
distrito_1_08_01,Guadalupe,canton_1_08,1
distrito_1_08_02,San Francisco,canton_1_08,2
distrito_1_08_03,Calle Blancos,canton_1_08,3
distrito_1_08_04,Mata de Plátano,canton_1_08,4
distrito_1_08_05,Ipís,canton_1_08,5
distrito_1_08_06,Rancho Redondo,canton_1_08,6
distrito_1_08_07,Purral,canton_1_08,7
