id,name,district_id/id,code
barrio_1_01_01_01,Amón,distrito_1_01_01,1
barrio_1_01_01_02,Aranjuez,distrito_1_01_01,2
barrio_1_01_01_03,California (parte),distrito_1_01_01,3
barrio_1_01_01_04,Carmen,distrito_1_01_01,4
barrio_1_01_01_05,Empalme,distrito_1_01_01,5
barrio_1_01_01_06,Escalante,distrito_1_01_01,6
barrio_1_01_01_07,Otoya,distrito_1_01_01,7
barrio_1_01_02_01,Bajos de la Unión,distrito_1_01_02,1
barrio_1_01_02_02,Claret,distrito_1_01_02,2
barrio_1_01_02_03,Cocacola,distrito_1_01_02,3
barrio_1_01_02_04,Iglesias Flores,distrito_1_01_02,4
barrio_1_01_02_05,Mantica,distrito_1_01_02,5
barrio_1_01_02_06,México,distrito_1_01_02,6
barrio_1_01_02_07,Paso de la Vaca,distrito_1_01_02,7
barrio_1_01_02_08,Pitahaya,distrito_1_01_02,8
barrio_1_01_03_01,Almendares,distrito_1_01_03,1
barrio_1_01_03_02,Ángeles,distrito_1_01_03,2
barrio_1_01_03_03,Bolívar,distrito_1_01_03,3
barrio_1_01_03_04,Carit,distrito_1_01_03,4
barrio_1_01_03_05,Colón (parte),distrito_1_01_03,5
barrio_1_01_03_06,Corazón de Jesús,distrito_1_01_03,6
barrio_1_01_03_07,Cristo Rey,distrito_1_01_03,7
barrio_1_01_03_08,Cuba,distrito_1_01_03,8
barrio_1_01_03_09,Dolorosa (parte),distrito_1_01_03,9
barrio_1_01_03_10,Merced,distrito_1_01_03,10
barrio_1_01_03_11,Pacífico (parte),distrito_1_01_03,11
barrio_1_01_03_12,Pinos,distrito_1_01_03,12
barrio_1_01_03_13,Salubridad,distrito_1_01_03,13
barrio_1_01_03_14,San Bosco,distrito_1_01_03,14
barrio_1_01_03_15,San Francisco,distrito_1_01_03,15
barrio_1_01_03_16,Santa Lucía,distrito_1_01_03,16
barrio_1_01_03_17,Silos,distrito_1_01_03,17
barrio_1_01_04_01,Bellavista,distrito_1_01_04,1
barrio_1_01_04_02,California (parte),distrito_1_01_04,2
barrio_1_01_04_03,Carlos María Jiménez,distrito_1_01_04,3
barrio_1_01_04_04,Dolorosa (parte),distrito_1_01_04,4
barrio_1_01_04_05,Dos Pinos,distrito_1_01_04,5
barrio_1_01_04_06,Francisco Peralta (parte),distrito_1_01_04,6
barrio_1_01_04_07,González Lahmann,distrito_1_01_04,7
barrio_1_01_04_08,González Víquez,distrito_1_01_04,8
barrio_1_01_04_09,Güell,distrito_1_01_04,9
barrio_1_01_04_10,La Cruz,distrito_1_01_04,10
barrio_1_01_04_11,Lomas de Ocloro,distrito_1_01_04,11
barrio_1_01_04_12,Luján,distrito_1_01_04,12
barrio_1_01_04_13,Milflor,distrito_1_01_04,13
barrio_1_01_04_14,Naciones Unidas,distrito_1_01_04,14
barrio_1_01_04_15,Pacífico (parte),distrito_1_01_04,15
barrio_1_01_04_16,San Cayetano (parte),distrito_1_01_04,16
barrio_1_01_04_17,Soledad,distrito_1_01_04,17
barrio_1_01_04_18,Tabacalera,distrito_1_01_04,18
barrio_1_01_04_19,Vasconia,distrito_1_01_04,19
barrio_1_01_05_01,Alborada,distrito_1_01_05,1
barrio_1_01_05_02,Calderón Muñoz,distrito_1_01_05,2
barrio_1_01_05_03,Cerrito,distrito_1_01_05,3
barrio_1_01_05_04,Córdoba,distrito_1_01_05,4
barrio_1_01_05_05,Gloria,distrito_1_01_05,5
barrio_1_01_05_06,Jardín,distrito_1_01_05,6
barrio_1_01_05_07,Luisas,distrito_1_01_05,7
barrio_1_01_05_08,Mangos,distrito_1_01_05,8
barrio_1_01_05_09,Montealegre,distrito_1_01_05,9
barrio_1_01_05_10,Moreno Cañas,distrito_1_01_05,10
barrio_1_01_05_11,Quesada Durán,distrito_1_01_05,11
barrio_1_01_05_12,San Dimas,distrito_1_01_05,12
barrio_1_01_05_13,San Gerardo (parte),distrito_1_01_05,13
barrio_1_01_05_14,Trébol,distrito_1_01_05,14
barrio_1_01_05_15,Ujarrás,distrito_1_01_05,15
barrio_1_01_05_16,Vista Hermosa,distrito_1_01_05,16
barrio_1_01_05_17,Yoses Sur,distrito_1_01_05,17
barrio_1_01_05_18,Zapote (centro),distrito_1_01_05,18
barrio_1_01_06_01,Ahogados (parte),distrito_1_01_06,1
barrio_1_01_06_02,Bosque,distrito_1_01_06,2
barrio_1_01_06_03,Cabañas,distrito_1_01_06,3
barrio_1_01_06_04,Camelias,distrito_1_01_06,4
barrio_1_01_06_05,Coopeguaria,distrito_1_01_06,5
barrio_1_01_06_06,Faro,distrito_1_01_06,6
barrio_1_01_06_07,Fátima,distrito_1_01_06,7
barrio_1_01_06_08,Hispano,distrito_1_01_06,8
barrio_1_01_06_09,I Griega,distrito_1_01_06,9
barrio_1_01_06_10,Lincoln,distrito_1_01_06,10
barrio_1_01_06_11,Lomas de San Francisco,distrito_1_01_06,11
barrio_1_01_06_12,Maalot,distrito_1_01_06,12
barrio_1_01_06_13,Méndez,distrito_1_01_06,13
barrio_1_01_06_14,Pacífica,distrito_1_01_06,14
barrio_1_01_06_15,San Francisco de Dos Ríos (centro),distrito_1_01_06,15
barrio_1_01_06_16,Sauces,distrito_1_01_06,16
barrio_1_01_06_17,Saucitos,distrito_1_01_06,17
barrio_1_01_06_18,Zurquí,distrito_1_01_06,18
barrio_1_01_07_01,Alborada,distrito_1_01_07,1
barrio_1_01_07_02,Ánimas,distrito_1_01_07,2
barrio_1_01_07_03,Árboles,distrito_1_01_07,3
barrio_1_01_07_04,Bajos del Torres,distrito_1_01_07,4
barrio_1_01_07_05,Carranza,distrito_1_01_07,5
barrio_1_01_07_06,Corazón de Jesús,distrito_1_01_07,6
barrio_1_01_07_07,Cristal,distrito_1_01_07,7
barrio_1_01_07_08,Carvajal Castro,distrito_1_01_07,8
barrio_1_01_07_09,Jardines de Autopista,distrito_1_01_07,9
barrio_1_01_07_10,La Caja,distrito_1_01_07,10
barrio_1_01_07_11,La Carpio,distrito_1_01_07,11
barrio_1_01_07_12,Magnolia,distrito_1_01_07,12
barrio_1_01_07_13,Marimil,distrito_1_01_07,13
barrio_1_01_07_14,Monserrat,distrito_1_01_07,14
barrio_1_01_07_15,Peregrina,distrito_1_01_07,15
barrio_1_01_07_16,Robledal,distrito_1_01_07,16
barrio_1_01_07_17,Rossiter Carballo,distrito_1_01_07,17
barrio_1_01_07_18,Santander,distrito_1_01_07,18
barrio_1_01_07_19,Saturno,distrito_1_01_07,19
barrio_1_01_07_20,Uruca (centro),distrito_1_01_07,20
barrio_1_01_07_21,Vuelta del Virilla,distrito_1_01_07,21
barrio_1_01_08_01,Américas,distrito_1_01_08,1
barrio_1_01_08_02,Bajo Cañada (parte),distrito_1_01_08,2
barrio_1_01_08_03,Balcón Verde,distrito_1_01_08,3
barrio_1_01_08_04,Colón (parte),distrito_1_01_08,4
barrio_1_01_08_05,Del Pino,distrito_1_01_08,5
barrio_1_01_08_06,Holanda,distrito_1_01_08,6
barrio_1_01_08_07,La Luisa,distrito_1_01_08,7
barrio_1_01_08_08,La Salle,distrito_1_01_08,8
barrio_1_01_08_09,Lomalinda,distrito_1_01_08,9
barrio_1_01_08_10,Morenos,distrito_1_01_08,10
barrio_1_01_08_11,Niza,distrito_1_01_08,11
barrio_1_01_08_12,Rancho Luna,distrito_1_01_08,12
barrio_1_01_08_13,Rohrmoser (parte),distrito_1_01_08,13
barrio_1_01_08_14,Roma,distrito_1_01_08,14
barrio_1_01_08_15,Sabana,distrito_1_01_08,15
barrio_1_01_08_16,Tovar,distrito_1_01_08,16
barrio_1_01_09_01,Alfa,distrito_1_01_09,1
barrio_1_01_09_02,Asturias,distrito_1_01_09,2
barrio_1_01_09_03,Asunción,distrito_1_01_09,3
barrio_1_01_09_04,Bribrí,distrito_1_01_09,4
barrio_1_01_09_05,Favorita Norte,distrito_1_01_09,5
barrio_1_01_09_06,Favorita Sur,distrito_1_01_09,6
barrio_1_01_09_07,Galicia,distrito_1_01_09,7
barrio_1_01_09_08,Geroma,distrito_1_01_09,8
barrio_1_01_09_09,Hispania,distrito_1_01_09,9
barrio_1_01_09_10,Libertad,distrito_1_01_09,10
barrio_1_01_09_11,Lomas del Río,distrito_1_01_09,11
barrio_1_01_09_12,Llanos del Sol,distrito_1_01_09,12
barrio_1_01_09_13,María Reina,distrito_1_01_09,13
barrio_1_01_09_14,Metrópolis,distrito_1_01_09,14
barrio_1_01_09_15,Navarra,distrito_1_01_09,15
barrio_1_01_09_16,Pavas (centro),distrito_1_01_09,16
barrio_1_01_09_17,Pueblo Nuevo,distrito_1_01_09,17
barrio_1_01_09_18,Residencial del Oeste,distrito_1_01_09,18
barrio_1_01_09_19,Rincón Grande,distrito_1_01_09,19
barrio_1_01_09_20,Rohrmoser (parte),distrito_1_01_09,20
barrio_1_01_09_21,Rotonda,distrito_1_01_09,21
